Date,Hour,Live Congestion Level [%],Average congestion level in 2019 [%],Average congestion level in 2018 [%],Weekday
2021-03-22,00:00,1,1,1,Mon
2021-03-22,01:00,2,0,1,Mon
2021-03-22,02:00,1,0,1,Mon
2021-03-22,03:00,1,0,0,Mon
2021-03-22,04:00,4,0,0,Mon
2021-03-22,05:00,2,0,0,Mon
2021-03-22,06:00,5,10,8,Mon
2021-03-22,07:00,16,36,34,Mon
2021-03-22,08:00,27,39,39,Mon
2021-03-22,09:00,27,19,17,Mon
2021-03-22,10:00,15,17,14,Mon
2021-03-22,11:00,17,19,16,Mon
2021-03-22,12:00,19,22,18,Mon
2021-03-22,13:00,19,20,17,Mon
2021-03-22,14:00,20,20,17,Mon
2021-03-22,15:00,31,31,26,Mon
2021-03-22,16:00,39,48,40,Mon
2021-03-22,17:00,39,37,31,Mon
2021-03-22,18:00,22,15,12,Mon
2021-03-22,19:00,13,11,9,Mon
2021-03-22,20:00,10,9,7,Mon
2021-03-22,21:00,7,7,5,Mon
2021-03-22,22:00,4,4,3,Mon
2021-03-22,23:00,2,2,1,Mon
2021-03-23,00:00,1,1,0,Tue
2021-03-23,01:00,0,0,1,Tue
2021-03-23,02:00,1,1,2,Tue
2021-03-23,03:00,2,0,3,Tue
2021-03-23,04:00,2,0,1,Tue
2021-03-23,05:00,2,0,0,Tue
2021-03-23,06:00,5,12,11,Tue
2021-03-23,07:00,19,42,40,Tue
2021-03-23,08:00,28,51,48,Tue
2021-03-23,09:00,29,26,24,Tue
2021-03-23,10:00,15,19,17,Tue
2021-03-23,11:00,15,21,19,Tue
2021-03-23,12:00,20,25,21,Tue
2021-03-23,13:00,20,23,20,Tue
2021-03-23,14:00,21,23,20,Tue
2021-03-23,15:00,36,36,31,Tue
2021-03-23,16:00,41,59,53,Tue
2021-03-23,17:00,41,49,44,Tue
2021-03-23,18:00,24,19,17,Tue
2021-03-23,19:00,14,12,11,Tue
2021-03-23,20:00,12,9,9,Tue
2021-03-23,21:00,8,7,7,Tue
2021-03-23,22:00,5,4,4,Tue
2021-03-23,23:00,3,2,1,Tue
2021-03-24,00:00,3,1,1,Wed
2021-03-24,01:00,1,0,1,Wed
2021-03-24,02:00,1,0,3,Wed
2021-03-24,03:00,1,0,2,Wed
2021-03-24,04:00,1,0,1,Wed
2021-03-24,05:00,0,0,0,Wed
2021-03-24,06:00,6,12,10,Wed
2021-03-24,07:00,18,42,40,Wed
2021-03-24,08:00,27,49,47,Wed
2021-03-24,09:00,21,24,22,Wed
2021-03-24,10:00,15,19,17,Wed
2021-03-24,11:00,17,22,19,Wed
2021-03-24,12:00,21,25,22,Wed
2021-03-24,13:00,22,23,20,Wed
2021-03-24,14:00,21,23,20,Wed
2021-03-24,15:00,32,38,33,Wed
2021-03-24,16:00,39,62,55,Wed
2021-03-24,17:00,38,52,46,Wed
2021-03-24,18:00,22,22,17,Wed
2021-03-24,19:00,14,13,11,Wed
2021-03-24,20:00,12,10,9,Wed
2021-03-24,21:00,9,8,7,Wed
2021-03-24,22:00,5,5,4,Wed
2021-03-24,23:00,3,2,1,Wed
2021-03-25,00:00,3,0,0,Thu
2021-03-25,01:00,3,0,0,Thu
2021-03-25,02:00,1,0,2,Thu
2021-03-25,03:00,1,0,2,Thu
2021-03-25,04:00,2,0,1,Thu
2021-03-25,05:00,2,0,0,Thu
2021-03-25,06:00,7,11,10,Thu
2021-03-25,07:00,17,40,38,Thu
2021-03-25,08:00,30,47,45,Thu
2021-03-25,09:00,31,25,23,Thu
2021-03-25,10:00,16,20,19,Thu
2021-03-25,11:00,18,23,22,Thu
2021-03-25,12:00,21,27,25,Thu
2021-03-25,13:00,21,24,22,Thu
2021-03-25,14:00,19,25,22,Thu
2021-03-25,15:00,31,42,33,Thu
2021-03-25,16:00,37,66,53,Thu
2021-03-25,17:00,37,57,43,Thu
2021-03-25,18:00,22,25,18,Thu
2021-03-25,19:00,13,16,12,Thu
2021-03-25,20:00,11,12,9,Thu
2021-03-25,21:00,8,9,8,Thu
2021-03-25,22:00,5,5,4,Thu
2021-03-25,23:00,3,2,2,Thu
2021-03-26,00:00,2,1,1,Fri
2021-03-26,01:00,1,0,0,Fri
2021-03-26,02:00,1,0,1,Fri
2021-03-26,03:00,1,0,0,Fri
2021-03-26,04:00,2,0,0,Fri
2021-03-26,05:00,2,0,0,Fri
2021-03-26,06:00,6,8,8,Fri
2021-03-26,07:00,15,28,28,Fri
2021-03-26,08:00,25,32,32,Fri
2021-03-26,09:00,31,19,19,Fri
2021-03-26,10:00,18,20,19,Fri
2021-03-26,11:00,19,24,22,Fri
2021-03-26,12:00,23,30,27,Fri
2021-03-26,13:00,22,28,25,Fri
2021-03-26,14:00,22,28,25,Fri
2021-03-26,15:00,39,39,35,Fri
2021-03-26,16:00,39,49,45,Fri
2021-03-26,17:00,37,36,34,Fri
2021-03-26,18:00,25,20,19,Fri
2021-03-26,19:00,14,14,13,Fri
2021-03-26,20:00,17,11,10,Fri
2021-03-26,21:00,10,10,9,Fri
2021-03-26,22:00,7,7,7,Fri
2021-03-26,23:00,4,4,3,Fri
2021-03-27,00:00,3,2,2,Sat
2021-03-27,01:00,2,0,1,Sat
2021-03-27,02:00,2,0,0,Sat
2021-03-27,03:00,2,0,0,Sat
2021-03-27,04:00,3,0,0,Sat
2021-03-27,05:00,2,0,0,Sat
2021-03-27,06:00,2,0,0,Sat
2021-03-27,07:00,2,1,2,Sat
2021-03-27,08:00,3,5,4,Sat
2021-03-27,09:00,6,10,9,Sat
2021-03-27,10:00,12,16,13,Sat
2021-03-27,11:00,16,20,16,Sat
2021-03-27,12:00,19,24,18,Sat
2021-03-27,13:00,19,24,19,Sat
2021-03-27,14:00,19,22,18,Sat
2021-03-27,15:00,19,22,18,Sat
2021-03-27,16:00,16,19,15,Sat
2021-03-27,17:00,13,17,14,Sat
2021-03-27,18:00,11,15,12,Sat
2021-03-27,19:00,10,11,9,Sat
2021-03-27,20:00,10,9,7,Sat
2021-03-27,21:00,9,8,7,Sat
2021-03-27,22:00,6,6,5,Sat
2021-03-27,23:00,4,4,3,Sat
2021-03-28,00:00,3,2,1,Sun
2021-03-28,01:00,1,0,0,Sun
2021-03-28,02:00,1,0,0,Sun
2021-03-28,03:00,2,0,0,Sun
2021-03-28,04:00,2,0,0,Sun
2021-03-28,05:00,1,0,0,Sun
2021-03-28,06:00,1,0,0,Sun
2021-03-28,07:00,1,0,0,Sun
2021-03-28,08:00,1,2,1,Sun
2021-03-28,09:00,3,6,4,Sun
2021-03-28,10:00,7,9,8,Sun
2021-03-28,11:00,14,13,10,Sun
2021-03-28,12:00,17,18,14,Sun
2021-03-28,13:00,18,19,15,Sun
2021-03-28,14:00,20,18,14,Sun
2021-03-28,15:00,23,16,13,Sun
2021-03-28,16:00,23,14,11,Sun
2021-03-28,17:00,11,12,9,Sun
2021-03-28,18:00,8,9,7,Sun
2021-03-28,19:00,7,7,6,Sun
2021-03-28,20:00,6,6,5,Sun
2021-03-28,21:00,5,5,4,Sun
2021-03-28,22:00,4,3,3,Sun
2021-03-28,23:00,4,2,1,Sun
2021-03-29,00:00,2,1,1,Mon
2021-03-29,01:00,3,0,1,Mon
2021-03-29,02:00,3,0,1,Mon
2021-03-29,03:00,3,0,0,Mon
2021-03-29,04:00,3,0,0,Mon
2021-03-29,05:00,3,0,0,Mon
2021-03-29,06:00,8,10,8,Mon
2021-03-29,07:00,18,36,34,Mon
2021-03-29,08:00,25,39,39,Mon
2021-03-29,09:00,26,19,17,Mon
2021-03-29,10:00,14,17,14,Mon
2021-03-29,11:00,14,19,16,Mon
2021-03-29,12:00,16,22,18,Mon
2021-03-29,13:00,16,20,17,Mon
2021-03-29,14:00,17,20,17,Mon
2021-03-29,15:00,28,31,26,Mon
2021-03-29,16:00,30,48,40,Mon
2021-03-29,17:00,28,37,31,Mon
2021-03-29,18:00,15,15,12,Mon
2021-03-29,19:00,10,11,9,Mon
2021-03-29,20:00,10,9,7,Mon
2021-03-29,21:00,7,7,5,Mon
2021-03-29,22:00,5,4,3,Mon
2021-03-29,23:00,3,2,1,Mon
2021-03-30,00:00,2,1,0,Tue
2021-03-30,01:00,0,0,1,Tue
2021-03-30,02:00,1,1,2,Tue
2021-03-30,03:00,1,0,3,Tue
