day,2019,2020,2021,change (2019-2020),change (2020-2021)
03-01,17.125,5.333333333333333,,-11.791666666666668,
03-02,12.375,17.666666666666668,,5.291666666666668,
03-03,9.166666666666666,19.625,,10.458333333333334,
03-04,22.5,19.0,,-3.5,
03-05,27.875,18.708333333333332,,-9.166666666666668,
03-06,21.916666666666668,18.083333333333332,,-3.8333333333333357,
03-07,24.375,7.791666666666667,,-16.583333333333332,
03-08,19.416666666666668,6.478260869565218,,-12.93840579710145,
03-09,9.208333333333334,13.541666666666666,,4.333333333333332,
03-10,5.521739130434782,16.208333333333332,,10.68659420289855,
03-11,18.083333333333332,16.291666666666668,,-1.7916666666666643,
03-12,20.0,15.333333333333334,,-4.666666666666666,
03-13,17.458333333333332,13.75,,-3.708333333333332,
03-14,17.416666666666668,5.916666666666667,,-11.5,
03-15,15.541666666666666,3.875,,-11.666666666666666,
03-16,7.416666666666667,8.041666666666666,,0.6249999999999991,
03-17,4.666666666666667,8.416666666666666,,3.749999999999999,
03-18,10.375,8.333333333333334,,-2.041666666666666,
03-19,12.166666666666666,7.083333333333333,,-5.083333333333333,
03-20,13.166666666666666,7.125,,-6.041666666666666,
03-21,13.0,4.041666666666667,,-8.958333333333332,
03-22,13.083333333333334,2.25,14.291666666666666,-10.833333333333334,12.041666666666666
03-23,7.666666666666667,5.291666666666667,15.166666666666666,-2.375,9.875
03-24,5.291666666666667,9.625,14.541666666666666,4.333333333333333,4.916666666666666
03-25,13.666666666666666,7.0,14.958333333333334,-6.666666666666666,7.958333333333334
03-26,16.333333333333332,6.958333333333333,15.916666666666666,-9.375,8.958333333333332
03-27,18.5,6.708333333333333,8.75,-11.791666666666668,2.041666666666667
03-28,19.166666666666668,3.7916666666666665,7.625,-15.375000000000002,3.8333333333333335
03-29,21.291666666666668,2.6666666666666665,12.791666666666666,-18.625,10.125
03-30,10.416666666666666,5.5,17.791666666666668,-4.916666666666666,12.291666666666668
03-31,6.583333333333333,6.25,16.791666666666668,-0.33333333333333304,10.541666666666668
04-01,20.875,6.75,17.041666666666668,-14.125,10.291666666666668
04-02,22.333333333333332,6.666666666666667,5.208333333333333,-15.666666666666664,-1.458333333333334
04-03,18.5,6.208333333333333,10.166666666666666,-12.291666666666668,3.958333333333333
04-04,19.875,3.5,6.0,-16.375,2.5
04-05,19.208333333333332,2.5,10.208333333333334,-16.708333333333332,7.708333333333334
04-06,8.708333333333334,5.583333333333333,13.458333333333334,-3.125000000000001,7.875000000000001
04-07,6.416666666666667,6.0,14.75,-0.41666666666666696,8.75
04-08,16.458333333333332,6.125,16.833333333333332,-10.333333333333332,10.708333333333332
04-09,18.75,7.125,16.5,-11.625,9.375
04-10,19.5,2.0833333333333335,10.125,-17.416666666666668,8.041666666666666
04-11,18.0,3.5,7.0,-14.5,3.5
04-12,19.5,2.2083333333333335,13.75,-17.291666666666668,11.541666666666666
04-13,9.875,5.25,14.416666666666666,-4.625,9.166666666666666
04-14,6.416666666666667,6.666666666666667,17.041666666666668,0.25,10.375
04-15,18.375,6.291666666666667,18.583333333333332,-12.083333333333332,12.291666666666664
04-16,20.416666666666668,6.625,17.291666666666668,-13.791666666666668,10.666666666666668
04-17,20.291666666666668,6.375,9.125,-13.916666666666668,2.75
04-18,22.25,3.5416666666666665,6.083333333333333,-18.708333333333332,2.5416666666666665
04-19,5.958333333333333,2.0,14.875,-3.958333333333333,12.875
04-20,7.791666666666667,5.75,18.041666666666668,-2.041666666666667,12.291666666666668
04-21,3.1666666666666665,6.75,16.375,3.5833333333333335,9.625
04-22,8.333333333333334,6.708333333333333,14.583333333333334,-1.6250000000000009,7.875000000000001
04-23,21.458333333333332,6.666666666666667,13.916666666666666,-14.791666666666664,7.249999999999999
04-24,21.0,6.25,7.791666666666667,-14.75,1.541666666666667
04-25,19.708333333333332,4.5,5.791666666666667,-15.208333333333332,1.291666666666667
04-26,20.125,2.7916666666666665,10.291666666666666,-17.333333333333332,7.5
04-27,8.541666666666666,6.25,9.0,-2.291666666666666,2.75
04-28,6.583333333333333,7.916666666666667,10.083333333333334,1.333333333333334,2.166666666666667
04-29,17.583333333333332,7.5,10.375,-10.083333333333332,2.875
04-30,18.75,8.083333333333334,9.041666666666666,-10.666666666666666,0.9583333333333321
05-01,20.333333333333332,7.416666666666667,6.416666666666667,-12.916666666666664,-1.0
05-02,19.416666666666668,4.0,4.875,-15.416666666666668,0.875
05-03,17.333333333333332,3.5416666666666665,10.166666666666666,-13.791666666666666,6.625
05-04,8.541666666666666,5.958333333333333,10.541666666666666,-2.583333333333333,4.583333333333333
05-05,5.958333333333333,6.041666666666667,10.541666666666666,0.08333333333333393,4.499999999999999
05-06,16.666666666666668,7.125,10.0,-9.541666666666668,2.875
05-07,21.958333333333332,6.208333333333333,10.916666666666666,-15.75,4.708333333333333
05-08,21.666666666666668,7.25,5.25,-14.416666666666668,-2.0
05-09,21.625,3.0416666666666665,5.458333333333333,-18.583333333333332,2.4166666666666665
05-10,18.791666666666668,2.2083333333333335,9.125,-16.583333333333336,6.916666666666666
05-11,9.916666666666666,6.916666666666667,9.375,-2.999999999999999,2.458333333333333
05-12,6.208333333333333,6.875,8.708333333333334,0.666666666666667,1.833333333333334
05-13,17.708333333333332,6.875,10.333333333333334,-10.833333333333332,3.458333333333334
05-14,20.083333333333332,7.625,10.208333333333334,-12.458333333333332,2.583333333333334
05-15,24.333333333333332,7.333333333333333,7.958333333333333,-17.0,0.625
05-16,22.916666666666668,3.2916666666666665,5.375,-19.625,2.0833333333333335
05-17,16.583333333333332,3.3333333333333335,9.333333333333334,-13.249999999999998,6.0
05-18,8.291666666666666,4.75,10.25,-3.541666666666666,5.5
